"","article_title","n","mins","hrs"
"570","Alarming 45-fold rise in measles in Europe - WHO",53,265,4.41666666666667
"571","Ex-flight attendant to be Japan Airlines president",53,265,4.41666666666667
"572","Thousands turn out to welcome new Danish King",53,265,4.41666666666667
"573","World's first IVF rhino pregnancy 'could save species'",53,265,4.41666666666667
"574","Danish king publishes book three days into reign",52,260,4.33333333333333
"575","Explosion at St Petersburg gas terminal - officials",52,260,4.33333333333333
"576","Moana to get surprise cinema sequel this year",52,260,4.33333333333333
"577","Alarming 30-fold rise in measles in Europe - WHO",51,255,4.25
"578","Britain must train citizen army, military chief warns",51,255,4.25
"579","Gosling 'disappointed' at Gerwig and Robbie Oscar snubs",51,255,4.25
"580","Klopp to leave as Liverpool boss at end of season",51,255,4.25
"581","Lauren Boebert's ex-husband arrested in Colorado",51,255,4.25
"582","The One Where They Find Friends Scripts in a Bin",51,255,4.25
"583","UPS to cut 12,000 jobs after 'disappointing' year",51,255,4.25
"584","Why is Alabama executing a man using nitrogen gas?",51,255,4.25
"585","Woman injured in Sydney Harbour shark attack",51,255,4.25
"586","Bowels, bladders, sex: Rediscovering life after injury",50,250,4.16666666666667
"587","Cher's conservatorship request for son denied",50,250,4.16666666666667
"588","El Salvador woman freed after abortion conviction",50,250,4.16666666666667
"589","LA Innocence Project takes on famous US murder case",50,250,4.16666666666667
"590","New York synagogue unstable after damage from tunnel",50,250,4.16666666666667
"591","Trump faces E Jean Carroll in $10m defamation case",50,250,4.16666666666667
"592","Fifth and final batch of Epstein documents released",49,245,4.08333333333333
"593","US defence secretary kept cancer diagnosis secret",49,245,4.08333333333333
"594","Zimbabwe opposition leader quits 'contaminated' party",49,245,4.08333333333333
"595","Can India's 'alternative Maldives' handle mass tourism?",48,240,4
"596","Chinese ship's port call fans India tensions",48,240,4
"597","Kenyan cult leader charged with 191 murders",48,240,4
"598","King Charles in hospital for prostate treatment",48,240,4
"599","Mercedes' Hamilton on verge of shock Ferrari move",48,240,4
"600","Iran's antisemitic speeches to UK students probed",47,235,3.91666666666667
"601","Maldives ultimatum on troops deepens row with India",47,235,3.91666666666667
"602","Manhunt for Clapham attack suspect continues",47,235,3.91666666666667
"603","The election risks for Biden after deadly drone strike",47,235,3.91666666666667
"604","UN top court can rule on Ukraine case against Russia",47,235,3.91666666666667
"605","Ex-Abercrombie CEO denies sex trafficking allegations",46,230,3.83333333333333
"606","Footballer Dani Alves denies nightclub rape",46,230,3.83333333333333
"607","Records broken but Barbie snubbed - 6 Oscars talking points",46,230,3.83333333333333
