order,value,url,scrape_date,order_var
1,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T11:20:21Z,NA
2,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T11:20:21Z,NA
3,Madonna's Celebration tour is a family affair,NA,2023-10-15T11:20:21Z,NA
4,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T11:20:21Z,NA
5,Australia rejects historic Indigenous referendum,NA,2023-10-15T11:20:21Z,NA
6,Bank boss warns world facing 'most dangerous time',NA,2023-10-15T11:20:21Z,NA
7,US actress Piper Laurie dies at 91,NA,2023-10-15T11:20:21Z,NA
8,Afghanistan hit by third earthquake in a week,NA,2023-10-15T11:20:21Z,NA
9,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T11:20:21Z,NA
10,Thousands march in UK pro-Palestinian protests,NA,2023-10-15T11:20:21Z,NA
1,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T11:25:29Z,NA
2,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T11:25:29Z,NA
3,Madonna's Celebration tour is a family affair,NA,2023-10-15T11:25:29Z,NA
4,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T11:25:29Z,NA
5,Bank boss warns world facing 'most dangerous time',NA,2023-10-15T11:25:29Z,NA
6,US actress Piper Laurie dies at 91,NA,2023-10-15T11:25:29Z,NA
7,Australia rejects historic Indigenous referendum,NA,2023-10-15T11:25:29Z,NA
8,Afghanistan hit by third earthquake in a week,NA,2023-10-15T11:25:29Z,NA
9,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T11:25:29Z,NA
10,Thousands march in UK pro-Palestinian protests,NA,2023-10-15T11:25:29Z,NA
1,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T11:30:38Z,NA
2,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T11:30:38Z,NA
3,Madonna's Celebration tour is a family affair,NA,2023-10-15T11:30:38Z,NA
4,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T11:30:38Z,NA
5,Bank boss warns world facing 'most dangerous time',NA,2023-10-15T11:30:38Z,NA
6,US actress Piper Laurie dies at 91,NA,2023-10-15T11:30:38Z,NA
7,Australia rejects historic Indigenous referendum,NA,2023-10-15T11:30:38Z,NA
8,Afghanistan hit by third earthquake in a week,NA,2023-10-15T11:30:38Z,NA
9,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T11:30:38Z,NA
10,Thousands march in UK pro-Palestinian protests,NA,2023-10-15T11:30:38Z,NA
1,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T11:35:46Z,NA
2,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T11:35:46Z,NA
3,Madonna's Celebration tour is a family affair,NA,2023-10-15T11:35:46Z,NA
4,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T11:35:46Z,NA
5,Bank boss warns world facing 'most dangerous time',NA,2023-10-15T11:35:46Z,NA
6,US actress Piper Laurie dies at 91,NA,2023-10-15T11:35:46Z,NA
7,Australia rejects historic Indigenous referendum,NA,2023-10-15T11:35:46Z,NA
8,Afghanistan hit by third earthquake in a week,NA,2023-10-15T11:35:46Z,NA
9,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T11:35:46Z,NA
10,Thousands march in UK pro-Palestinian protests,NA,2023-10-15T11:35:46Z,NA
1,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T11:40:55Z,NA
2,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T11:40:55Z,NA
3,Madonna's Celebration tour is a family affair,NA,2023-10-15T11:40:55Z,NA
4,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T11:40:55Z,NA
5,Bank boss warns world facing 'most dangerous time',NA,2023-10-15T11:40:55Z,NA
6,Hurt ripples in wake of Indigenous Voice vote,NA,2023-10-15T11:40:55Z,NA
7,US actress Piper Laurie dies at 91,NA,2023-10-15T11:40:55Z,NA
8,Afghanistan hit by third earthquake in a week,NA,2023-10-15T11:40:55Z,NA
9,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T11:40:55Z,NA
10,Thousands march in UK pro-Palestinian protests,NA,2023-10-15T11:40:55Z,NA
1,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T11:46:03Z,NA
2,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T11:46:03Z,NA
3,Madonna's Celebration tour is a family affair,NA,2023-10-15T11:46:03Z,NA
4,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T11:46:03Z,NA
5,Bank boss warns world facing 'most dangerous time',NA,2023-10-15T11:46:03Z,NA
6,Hurt ripples in wake of Indigenous Voice vote,NA,2023-10-15T11:46:03Z,NA
7,US actress Piper Laurie dies at 91,NA,2023-10-15T11:46:03Z,NA
8,Afghanistan hit by third earthquake in a week,NA,2023-10-15T11:46:03Z,NA
9,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T11:46:03Z,NA
10,Thousands march in UK pro-Palestinian protests,NA,2023-10-15T11:46:03Z,NA
1,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T11:51:11Z,NA
2,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T11:51:11Z,NA
3,Madonna's Celebration tour is a family affair,NA,2023-10-15T11:51:11Z,NA
4,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T11:51:11Z,NA
5,Bank boss warns world facing 'most dangerous time',NA,2023-10-15T11:51:11Z,NA
6,Hurt ripples in wake of Indigenous Voice vote,NA,2023-10-15T11:51:11Z,NA
7,US actress Piper Laurie dies at 91,NA,2023-10-15T11:51:11Z,NA
8,Afghanistan hit by third earthquake in a week,NA,2023-10-15T11:51:11Z,NA
9,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T11:51:11Z,NA
10,Thousands march in UK pro-Palestinian protests,NA,2023-10-15T11:51:11Z,NA
1,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T11:56:20Z,NA
2,Hurt ripples in wake of Indigenous Voice vote,NA,2023-10-15T11:56:20Z,NA
3,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T11:56:20Z,NA
4,Madonna's Celebration tour is a family affair,NA,2023-10-15T11:56:20Z,NA
5,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T11:56:20Z,NA
6,US actress Piper Laurie dies at 91,NA,2023-10-15T11:56:20Z,NA
7,Afghanistan hit by third earthquake in a week,NA,2023-10-15T11:56:20Z,NA
8,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T11:56:20Z,NA
9,Bank boss warns world facing 'most dangerous time',NA,2023-10-15T11:56:20Z,NA
10,Australia rejects historic Indigenous referendum,NA,2023-10-15T11:56:20Z,NA
1,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T12:01:29Z,NA
2,Hurt ripples in wake of Indigenous Voice vote,NA,2023-10-15T12:01:29Z,NA
3,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T12:01:29Z,NA
4,Madonna's Celebration tour is a family affair,NA,2023-10-15T12:01:29Z,NA
5,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T12:01:29Z,NA
6,US actress Piper Laurie dies at 91,NA,2023-10-15T12:01:29Z,NA
7,Afghanistan hit by third earthquake in a week,NA,2023-10-15T12:01:29Z,NA
8,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T12:01:29Z,NA
9,Bank boss warns world facing 'most dangerous time',NA,2023-10-15T12:01:29Z,NA
10,Australia rejects historic Indigenous referendum,NA,2023-10-15T12:01:29Z,NA
1,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T12:06:37Z,NA
2,Hurt ripples in wake of Indigenous Voice vote,NA,2023-10-15T12:06:37Z,NA
3,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T12:06:37Z,NA
4,Madonna's Celebration tour is a family affair,NA,2023-10-15T12:06:37Z,NA
5,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T12:06:37Z,NA
6,US actress Piper Laurie dies at 91,NA,2023-10-15T12:06:37Z,NA
7,Afghanistan hit by third earthquake in a week,NA,2023-10-15T12:06:37Z,NA
8,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T12:06:37Z,NA
9,Bank boss warns world facing 'most dangerous time',NA,2023-10-15T12:06:37Z,NA
10,Australia rejects historic Indigenous referendum,NA,2023-10-15T12:06:37Z,NA
1,Hurt ripples in wake of Indigenous Voice vote,NA,2023-10-15T12:11:45Z,NA
2,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T12:11:45Z,NA
3,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T12:11:45Z,NA
4,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T12:11:45Z,NA
5,Madonna's Celebration tour is a family affair,NA,2023-10-15T12:11:45Z,NA
6,US actress Piper Laurie dies at 91,NA,2023-10-15T12:11:45Z,NA
7,Afghanistan hit by third earthquake in a week,NA,2023-10-15T12:11:45Z,NA
8,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T12:11:45Z,NA
9,"Kenya, China and a railway to nowhere",NA,2023-10-15T12:11:45Z,NA
10,Fury outpoints KSI in grudge match,NA,2023-10-15T12:11:45Z,NA
1,Hurt ripples in wake of Indigenous Voice vote,NA,2023-10-15T12:16:54Z,NA
2,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T12:16:54Z,NA
3,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T12:16:54Z,NA
4,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T12:16:54Z,NA
5,Madonna's Celebration tour is a family affair,NA,2023-10-15T12:16:54Z,NA
6,US actress Piper Laurie dies at 91,NA,2023-10-15T12:16:54Z,NA
7,Afghanistan hit by third earthquake in a week,NA,2023-10-15T12:16:54Z,NA
8,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T12:16:54Z,NA
9,"Kenya, China and a railway to nowhere",NA,2023-10-15T12:16:54Z,NA
10,Fury outpoints KSI in grudge match,NA,2023-10-15T12:16:54Z,NA
1,Hurt ripples in wake of Indigenous Voice vote,NA,2023-10-15T12:22:02Z,NA
2,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T12:22:02Z,NA
3,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T12:22:02Z,NA
4,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T12:22:02Z,NA
5,Madonna's Celebration tour is a family affair,NA,2023-10-15T12:22:02Z,NA
6,US actress Piper Laurie dies at 91,NA,2023-10-15T12:22:02Z,NA
7,Afghanistan hit by third earthquake in a week,NA,2023-10-15T12:22:02Z,NA
8,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T12:22:02Z,NA
9,"Kenya, China and a railway to nowhere",NA,2023-10-15T12:22:02Z,NA
10,Fury outpoints KSI in grudge match,NA,2023-10-15T12:22:02Z,NA
1,Hurt ripples in wake of Indigenous Voice vote,NA,2023-10-15T12:27:10Z,NA
2,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T12:27:10Z,NA
3,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T12:27:10Z,NA
4,Madonna's Celebration tour is a family affair,NA,2023-10-15T12:27:10Z,NA
5,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T12:27:10Z,NA
6,Afghanistan hit by third earthquake in a week,NA,2023-10-15T12:27:10Z,NA
7,US actress Piper Laurie dies at 91,NA,2023-10-15T12:27:10Z,NA
8,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T12:27:10Z,NA
9,"Kenya, China and a railway to nowhere",NA,2023-10-15T12:27:10Z,NA
10,Australia rejects historic Indigenous referendum,NA,2023-10-15T12:27:10Z,NA
1,Hurt ripples in wake of Indigenous Voice vote,NA,2023-10-15T12:32:19Z,NA
2,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T12:32:19Z,NA
3,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T12:32:19Z,NA
4,Madonna's Celebration tour is a family affair,NA,2023-10-15T12:32:19Z,NA
5,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T12:32:19Z,NA
6,Afghanistan hit by third earthquake in a week,NA,2023-10-15T12:32:19Z,NA
7,US actress Piper Laurie dies at 91,NA,2023-10-15T12:32:19Z,NA
8,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T12:32:19Z,NA
9,"Kenya, China and a railway to nowhere",NA,2023-10-15T12:32:19Z,NA
10,Australia rejects historic Indigenous referendum,NA,2023-10-15T12:32:19Z,NA
1,Hurt ripples in wake of Indigenous Voice vote,NA,2023-10-15T12:37:28Z,NA
2,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T12:37:28Z,NA
3,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T12:37:28Z,NA
4,Madonna's Celebration tour is a family affair,NA,2023-10-15T12:37:28Z,NA
5,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T12:37:28Z,NA
